     x            y
689.43 1595.43115234
727.18 1398.65112305
770.66 1463.99597168
881.01 1134.52941895
886.00 923.86047363
908.93 1834.35583496
931.66 958.92169189
962.64 1792.76477051
1027.23 824.76684570
1047.00 477.04092407
1042.55 1425.30944824
1173.66 550.11517334
1234.58 569.92584229
1234.58 569.92584229
1232.05 1346.16918945
1232.05 1346.16918945
1233.51 1941.18994141
1287.96 1187.43676758
1330.59 1361.69763184
1369.68 680.72271729
1433.65 602.18499756
1515.02 981.79498291
1593.06 973.82116699
1629.80 1244.75439453
1672.66 1923.52514648
1728.79 377.76879883
1744.60 1496.97412109
1763.01 893.94970703
1773.21 157.10087585
1821.96 671.73333740
1825.26 792.68719482
1828.42 924.75811768
1856.17 988.71948242
1930.00 1751.91845703
1949.18  63.39950180
1950.60 1472.16040039
1964.92 436.23510742
1995.02 813.13281250
1995.02 813.13281250
1998.96 752.55706787
2041.98 1291.44909668
2061.55 771.85101318
2070.87 1234.98889160
2101.95 1301.71423340
2152.89 1420.51135254
2153.78 1671.53381348
2183.61 473.61883545
2214.48 1314.17517090
2263.79 1062.08020020
2283.48 1472.59094238
2284.99  65.28877258
2341.13 1841.28454590
2348.15 1088.02136230
2380.48 1139.42773438
2382.14 1476.68212891
2420.63 900.56298828
2490.06 1794.63793945
2593.28 484.22622681
2690.67 1947.43688965
2760.31 1844.90698242
2807.00 990.65899658
2866.52 1858.07922363
2886.93 1916.58740234
219.57 660.09857178
374.58 305.21524048
418.25 1740.57653809
474.66 177.28224182
507.07 391.11029053
536.40  93.86022186
570.22 535.60461426
731.40 1298.90612793
751.05 1620.63208008
768.51 1737.32922363
787.36 1353.07751465
826.60 1945.83947754
842.82 1670.35766602
845.89 1807.51794434
861.07 1267.20349121
923.12 1446.70361328
942.00 1918.59411621
1054.95 605.07464600
1084.40 526.79992676
1084.40 526.79992676
1161.20 1351.15222168
1207.90 641.55938721
1207.90 641.55938721
1251.62 724.57678223
1373.73 1651.35180664
1384.74 1376.16040039
1380.65 1513.15209961
1445.49 477.25131226
1456.53 232.05860901
1476.70 1224.23168945
1820.55 483.72817993
2003.72 1203.92822266
2055.56 335.40966797
2092.56 533.48828125
2108.47 918.54956055
2137.12 845.57049561
2159.19 1015.55291748
2191.66 936.15008545
2229.51 1180.43859863
2338.96 1759.30126953
2338.96 1759.30126953
2349.11 1532.84423828
2349.11 1532.84423828
2423.81 748.28228760
2459.33 1682.57739258
2567.49 1951.03466797
2712.79 1648.46362305
2723.34 411.71643066
2746.98 781.28393555
2753.92 1343.82397461
2939.71 1589.79675293
 91.19 1162.52758789
285.38 1442.15148926
308.17 410.99145508
732.41 1295.41784668
852.85 1449.58850098
911.93 605.02941895
1150.82 1483.87768555
1275.58 906.28833008
1304.59 1429.98950195
1302.32 1596.21203613
1302.32 1596.21203613
1379.03 1652.64001465
1425.98 1010.86169434
1535.87 1533.60681152
1582.77 1368.62329102
1637.77 1166.76440430
1747.47 1583.39013672
1953.89 1109.80444336
2071.19 1403.84997559
2422.51 749.34033203
2761.28 1762.55261230
345.60 605.20251465
385.04 400.00216675
690.63 455.13360596
721.96 1842.19128418
796.84 817.35449219
953.42 1104.52600098
945.85 1298.22644043
1001.29 796.03808594
1102.09 703.29644775
1103.83 860.55194092
1300.16 1027.26757812
1436.95 1118.43530273
1482.47 1323.97949219
1494.70 1874.54125977
1541.83 1174.04223633
1581.29 1681.26013184
1689.07 1733.41259766
1689.07 1733.41259766
1802.19 126.59519196
1813.55 1117.15881348
1813.55 1117.15881348
1925.75 297.36367798
1961.94 984.30236816
1961.94 984.30236816
2405.59 193.31132507
2452.70 1425.98706055
2524.08 133.66555786
123.07 122.88187408
122.42 849.74572754
470.08 496.05966187
724.05 1155.63110352
840.53 966.86419678
1196.99 984.36462402
1246.32 1200.78466797
1335.16 156.03118896
1651.47 1521.30505371
1678.76 1968.10180664
1780.95 774.10754395
2510.80 1287.63464355
2869.49 117.80673981
836.50 1552.83984375
972.63 1704.08813477
1414.14 1122.69140625
1632.38 400.48049927
1729.36 944.93328857
1778.87 1264.09497070
2324.16 1221.87634277
2515.16 1268.55773926
617.23 1490.04028320
801.69 1289.29943848
801.69 1289.29943848
1468.85 1669.41931152
1548.87 839.57073975
1548.87 839.57073975
1668.84 1463.61975098
1668.84 1463.61975098
1668.84 1463.61975098
1971.07 640.35467529
2028.71 1574.25671387
2093.70 903.74523926
2239.66 1487.44494629
2547.65 1706.04089355
2662.30 1500.12768555
1252.08 455.10937500
1238.08 800.70544434
1943.18 1017.60821533
